"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Chromista","Heterokontophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora","Amphora","phytoplankton","Other","Plankton"," 149200","Genus"
"Chromista","Ciliophora","Oligotrichea","Choreotrichida","Tintinnidae","Amphorellopsis","Amphorellopsis","Amphorellopsis","microplankton","Other","Plankton"," 425527","Genus"
"Chromista","Myzozoa","Conoidasida","Eugregarinorida","Lecudinidae","Ancora","Ancora","Ancora",NA,NA,NA," 562695","Genus"
"Protozoa","Loukozoa","Jakobea","Ancyromonadida","Ancyromonadidae","Ancyromonas","Ancyromonas atlantica","Ancyromonas atlantica",NA,NA,NA,"1738155","Species"
"Protozoa","Loukozoa","Jakobea","Ancyromonadida","Ancyromonadidae","Ancyromonas","Ancyromonas indica","Ancyromonas indica",NA,NA,NA,"1738156","Species"
"Protozoa","Loukozoa","Jakobea","Ancyromonadida","Ancyromonadidae","Ancyromonas","Ancyromonas sigmoides","Ancyromonas sigmoides",NA,NA,NA," 118040","Species"
"Protozoa","Loukozoa","Jakobea","Jakobida","Andaluciidae","Andalucia","Andalucia","Andalucia",NA,NA,NA,"1738566","Genus"
"Chromista","Ochrophyta","Dictyochophyceae","Pedinellales","Actinomonadaceae","Apedinella","Apedinella radians","Apedinella radians","phytoplankton","Other","Plankton"," 248097","Species"
"Chromista","Oomycota","Peronosporea","Saprolegniales","Leptolegniaceae","Aphanomyces","Aphanomyces","Aphanomyces",NA,NA,NA," 394836","Genus"
"Animalia","Xenacoelomorpha",NA,"Acoela","Isodiametridae","Aphanostoma","Aphanostoma","Aphanostoma","macrobenthos","Macrobenthos","Macrobenthos"," 142142","Genus"
"Chromista","Myzozoa","Dinophyceae","Dinophyceae incertae sedis",NA,"Apicoporus","Apicoporus","Apicoporus","mixoplankton","Other","Plankton"," 836528","Genus"
"Chromista","Bigyra","Labyrinthulea","Thraustochytrida","Aplanochytriidae","Aplanochytrium","Aplanochytrium","Aplanochytrium",NA,NA,NA," 162949","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Ardissoneales","Ardissoneaceae","Ardissonea","Ardissonea formosa","Ardissonea formosa","benthos","Macrobenthos","Macrobenthos"," 621678","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Aspidiscidae","Aspidisca","Aspidisca","Aspidisca","benthos","Macrobenthos","Macrobenthos"," 179324","Genus"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Aspidiscidae","Aspidisca","Aspidisca aculeata","Aspidisca aculeata","benthos","Macrobenthos","Macrobenthos"," 417096","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Aspidiscidae","Aspidisca","Aspidisca fusca","Aspidisca fusca","benthos","Macrobenthos","Macrobenthos"," 417099","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Aspidiscidae","Aspidisca","Aspidisca leptaspis","Aspidisca leptaspis","benthos","Macrobenthos","Macrobenthos"," 417100","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Aspidiscidae","Aspidisca","Aspidisca magna","Aspidisca magna","benthos","Macrobenthos","Macrobenthos"," 417103","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Aspidiscidae","Aspidisca","Aspidisca orthopogon","Aspidisca orthopogon","benthos","Macrobenthos","Macrobenthos"," 427650","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus","Asteromphalus","phytoplankton","Other","Plankton"," 162254","Genus"
