"","AphiaID","adult","larva","larva_other","other","polygastric"
"213",107418,"macrobenthos","zooplankton",NA,NA,NA
"214",107440,"macrobenthos","zooplankton",NA,NA,NA
"215",107441,"macrobenthos","zooplankton",NA,NA,NA
"216",107518,"macrobenthos",NA,NA,NA,NA
"217",107614,"macrobenthos",NA,NA,NA,NA
"218",107616,"macrobenthos",NA,NA,NA,NA
"219",108400,NA,NA,NA,NA,NA
"220",108479,NA,NA,NA,NA,NA
"221",108505,NA,NA,NA,NA,NA
"222",109051,NA,NA,NA,NA,NA
"223",109391,"nanoplankton",NA,NA,NA,NA
"224",109392,"nanoplankton",NA,NA,NA,NA
"225",109393,"nanoplankton",NA,NA,NA,NA
"226",109394,"nanoplankton",NA,NA,NA,NA
"227",109410,"nanoplankton",NA,NA,NA,NA
"228",109438,"nanoplankton",NA,NA,NA,NA
"229",109445,"nanoplankton",NA,NA,NA,NA
"230",109448,"zooplankton",NA,NA,NA,NA
"231",109462,"phytoplankton",NA,NA,NA,NA
"232",109466,"phytoplankton",NA,NA,NA,NA
"233",109467,"phytoplankton",NA,NA,NA,NA
"234",109470,"phytoplankton",NA,NA,NA,NA
"235",109473,"phytoplankton",NA,NA,NA,NA
"236",109474,"phytoplankton",NA,NA,NA,NA
"237",109476,"phytoplankton",NA,NA,NA,NA
"238",109478,"phytoplankton",NA,NA,NA,NA
"239",109519,"phytoplankton",NA,NA,NA,NA
"240",109545,"phytoplankton",NA,NA,NA,NA
"241",109549,"phytoplankton",NA,NA,NA,NA
"242",109553,"phytoplankton",NA,NA,NA,NA
"243",109556,"nanoplankton",NA,NA,NA,NA
"244",109566,"phytoplankton",NA,NA,NA,NA
"245",109604,"microplankton",NA,NA,"mixoplankton",NA
"246",109711,"microplankton",NA,NA,"mixoplankton",NA
"247",109712,"microplankton",NA,NA,"mixoplankton",NA
"248",109720,"phytoplankton",NA,NA,NA,NA
"249",109896,"phytoplankton",NA,NA,NA,NA
"250",109899,"microplankton",NA,NA,NA,NA
"251",109902,"microplankton",NA,NA,NA,NA
"252",110041,"nanoplankton",NA,NA,NA,NA
"253",110152,"microplankton",NA,NA,"mixoplankton",NA
"254",110208,"microplankton",NA,NA,"phytoplankton",NA
"255",110217,"microplankton",NA,NA,"phytoplankton",NA
"256",110220,"microplankton",NA,NA,NA,NA
"257",110245,"nanoplankton",NA,NA,NA,NA
"258",110260,"microplankton",NA,NA,NA,NA
"259",110277,"microplankton",NA,NA,NA,NA
"260",110301,"microplankton",NA,NA,"mixoplankton",NA
"261",110316,"microplankton",NA,NA,NA,NA
"262",110375,"macrobenthos","zooplankton",NA,NA,NA
"263",110701,"zooplankton","zooplankton",NA,NA,NA
"264",110722,"macrobenthos","zooplankton",NA,NA,NA
"265",110723,"macrobenthos","zooplankton",NA,NA,NA
"266",110724,"macrobenthos","zooplankton",NA,NA,NA
"267",110731,"macrobenthos","zooplankton",NA,NA,NA
"268",110851,"macrobenthos","zooplankton",NA,NA,NA
"269",110875,"macrobenthos","zooplankton",NA,NA,NA
"270",111022,"macrobenthos","zooplankton",NA,NA,NA
"271",111044,"macrobenthos","zooplankton",NA,NA,NA
"272",111062,"macrobenthos","zooplankton",NA,NA,NA
"273",111147,"macrobenthos","zooplankton",NA,NA,NA
"274",111197,"macrobenthos","zooplankton",NA,NA,NA
"275",111250,"macrobenthos","zooplankton",NA,NA,NA
"276",111343,"macrobenthos","zooplankton",NA,NA,NA
"277",111351,"macrobenthos","zooplankton",NA,NA,NA
"278",111367,"macrobenthos","zooplankton",NA,NA,NA
"279",111395,"macrobenthos","zooplankton",NA,NA,NA
"280",111397,"macrobenthos","zooplankton",NA,NA,NA
"281",111411,"macrobenthos","zooplankton",NA,NA,NA
"282",111421,"macrobenthos","zooplankton",NA,NA,NA
"283",111484,"macrobenthos","zooplankton",NA,NA,NA
"284",111498,"macrobenthos","zooplankton",NA,NA,NA
"285",111521,"macrobenthos","zooplankton",NA,NA,NA
"286",111540,"macrobenthos","zooplankton",NA,NA,NA
"287",111621,"macrobenthos","zooplankton",NA,NA,NA
"288",111659,"macrobenthos","zooplankton",NA,NA,NA
"289",111669,"macrobenthos","zooplankton",NA,NA,NA
"290",111690,"macrobenthos","zooplankton",NA,NA,NA
"291",111695,"macrobenthos","zooplankton",NA,NA,NA
"292",111696,"macrobenthos","zooplankton",NA,NA,NA
"293",111704,"macrobenthos","zooplankton",NA,NA,NA
"294",111708,"macrobenthos","zooplankton",NA,NA,NA
"295",111719,"macrobenthos","zooplankton",NA,NA,NA
"296",111760,"macrobenthos","zooplankton",NA,NA,NA
"297",111761,"macrobenthos","zooplankton",NA,NA,NA
"298",111849,"benthos",NA,NA,NA,NA
"299",111868,"benthos",NA,NA,NA,NA
"300",112288,"meiobenthos",NA,NA,NA,NA
"301",114416,"meiobenthos",NA,NA,NA,NA
"302",114427,"meiobenthos",NA,NA,NA,NA
"303",114471,"meiobenthos",NA,NA,NA,NA
"304",114472,"meiobenthos",NA,NA,NA,NA
"305",114520,"meiobenthos",NA,NA,NA,NA
"306",114550,"meiobenthos",NA,NA,NA,NA
"307",115006,"meiobenthos",NA,NA,NA,NA
"308",115058,"algae",NA,NA,NA,NA
"309",115061,"phytoplankton",NA,NA,NA,NA
"310",115073,"phytoplankton",NA,NA,NA,NA
"311",115088,"phytoplankton",NA,NA,NA,NA
"312",115090,"phytoplankton",NA,NA,NA,NA
"313",115106,"phytoplankton",NA,NA,NA,NA
"314",115140,"meiobenthos",NA,NA,NA,NA
"315",115331,"meiobenthos",NA,NA,NA,NA
"316",115349,"meiobenthos",NA,NA,NA,NA
"317",115425,"meiobenthos",NA,NA,NA,NA
"318",115525,"meiobenthos",NA,NA,NA,NA
"319",115541,"meiobenthos",NA,NA,NA,NA
"320",115694,"meiobenthos",NA,NA,NA,NA
"321",115723,"meiobenthos",NA,NA,NA,NA
"322",115787,"meiobenthos",NA,NA,NA,NA
"323",115906,"meiobenthos",NA,NA,NA,NA
"324",115950,"meiobenthos",NA,NA,NA,NA
"325",115960,"meiobenthos",NA,NA,NA,NA
"326",116162,"zooplankton",NA,NA,NA,NA
"327",116168,"meiobenthos",NA,NA,NA,NA
"328",116183,"meiobenthos",NA,NA,NA,NA
"329",116187,"meiobenthos",NA,NA,NA,NA
"330",116481,"meiobenthos",NA,NA,NA,NA
"331",116619,"meiobenthos",NA,NA,NA,NA
"332",116999,NA,NA,"macrobenthos",NA,NA
"333",117103,NA,NA,"macrobenthos",NA,NA
"334",117142,NA,"zooplankton","benthos",NA,NA
"335",117195,NA,NA,"macrobenthos",NA,NA
"336",117196,NA,NA,"macrobenthos",NA,NA
"337",117233,NA,NA,"macrobenthos",NA,NA
"338",117273,NA,"zooplankton","benthos",NA,NA
"339",117283,NA,NA,"macrobenthos",NA,NA
"340",117328,NA,"zooplankton","benthos",NA,NA
"341",117345,NA,"zooplankton","benthos",NA,NA
"342",117367,NA,"zooplankton","benthos",NA,NA
"343",117368,NA,"zooplankton","benthos",NA,NA
"344",117373,NA,"zooplankton","benthos",NA,NA
"345",117377,NA,"zooplankton","benthos",NA,NA
"346",117382,NA,"zooplankton","benthos",NA,NA
"347",117386,NA,"zooplankton","benthos",NA,NA
"348",117388,NA,"zooplankton","benthos",NA,NA
"349",117393,NA,NA,"zooplankton",NA,NA
"350",117402,NA,"zooplankton","benthos",NA,NA
"351",117417,NA,"zooplankton","benthos",NA,NA
"352",117426,NA,"zooplankton","benthos",NA,NA
"353",117440,NA,"zooplankton","benthos",NA,NA
"354",117452,NA,"zooplankton","benthos",NA,NA
"355",117471,NA,"zooplankton","benthos",NA,NA
"356",117483,NA,"zooplankton","benthos",NA,NA
"357",117491,NA,"zooplankton","benthos",NA,NA
"358",117517,NA,NA,"zooplankton",NA,NA
"359",117564,NA,"zooplankton","benthos",NA,NA
"360",117591,NA,NA,"macrobenthos",NA,NA
"361",117602,NA,NA,"macrobenthos",NA,NA
"362",117610,NA,"zooplankton","benthos",NA,NA
"363",117628,NA,NA,"macrobenthos",NA,NA
"364",117632,NA,NA,"macrobenthos",NA,NA
"365",117644,NA,"zooplankton","benthos",NA,NA
"366",117673,NA,NA,"zooplankton",NA,NA
"367",117674,NA,NA,"macrobenthos",NA,NA
"368",117725,NA,NA,"zooplankton",NA,NA
"369",117743,NA,"zooplankton","benthos",NA,NA
"370",117754,NA,"zooplankton","benthos",NA,NA
"371",117768,NA,"zooplankton","zooplankton",NA,NA
"372",117778,NA,"zooplankton","benthos",NA,NA
"373",117790,NA,"zooplankton","benthos",NA,NA
"374",117791,NA,"zooplankton","benthos",NA,NA
"375",117809,NA,NA,"macrobenthos",NA,NA
"376",117815,NA,NA,"macrobenthos",NA,NA
"377",117824,NA,NA,"macrobenthos",NA,NA
"378",117865,NA,NA,"zooplankton",NA,NA
"379",117888,NA,NA,"macrobenthos",NA,NA
"380",117982,NA,"zooplankton","benthos",NA,NA
"381",117994,NA,"zooplankton","benthos",NA,NA
"382",117999,NA,"zooplankton","benthos",NA,NA
"383",118011,"zooplankton",NA,NA,NA,NA
"384",118014,"phytoplankton",NA,NA,NA,NA
"385",118022,NA,NA,NA,NA,NA
"386",118028,NA,NA,NA,NA,NA
"387",118033,NA,NA,NA,NA,NA
"388",118040,NA,NA,NA,NA,NA
"389",118045,"mixoplankton",NA,NA,NA,NA
"390",118061,NA,NA,NA,NA,NA
"391",118068,NA,NA,NA,NA,NA
"392",118074,"zooplankton",NA,NA,NA,NA
"393",118075,"zooplankton",NA,NA,NA,NA
"394",118096,NA,NA,NA,NA,NA
"395",118113,NA,NA,NA,NA,NA
"396",118139,NA,NA,NA,NA,NA
"397",118152,NA,"benthos",NA,NA,NA
"398",118196,"macrobenthos",NA,NA,NA,NA
"399",118732,"macrobenthos",NA,NA,NA,NA
"400",119042,"macrobenthos",NA,NA,NA,NA
"401",119043,"macrobenthos",NA,NA,NA,NA
"402",119077,"zooplankton",NA,NA,NA,NA
"403",119090,NA,NA,NA,NA,NA
"404",119095,NA,NA,NA,NA,NA
"405",119096,NA,NA,NA,NA,NA
"406",119116,NA,NA,NA,NA,NA
"407",119121,NA,NA,NA,NA,NA
"408",119123,NA,NA,NA,NA,NA
"409",119178,NA,NA,NA,NA,NA
"410",119687,NA,NA,NA,NA,NA
"411",119773,NA,NA,NA,NA,NA
"412",119870,"macrobenthos",NA,NA,NA,NA
"413",120177,"macrobenthos",NA,NA,NA,NA
"414",120206,"macrobenthos",NA,NA,NA,NA
"415",120208,"macrobenthos",NA,NA,NA,NA
"416",120544,NA,NA,NA,NA,NA
"417",120548,NA,NA,NA,NA,NA
"418",120566,NA,NA,NA,NA,NA
"419",120567,NA,NA,NA,NA,NA
"420",120594,NA,NA,NA,NA,NA
"421",120600,NA,NA,NA,NA,NA
"422",120614,NA,NA,NA,NA,NA
"423",120633,NA,NA,NA,NA,NA
"424",120675,"meiobenthos",NA,NA,NA,NA
"425",120877,"meiobenthos",NA,NA,NA,NA
"426",120964,"meiobenthos",NA,NA,NA,NA
"427",121490,"meiobenthos",NA,NA,NA,NA
"428",121540,"meiobenthos",NA,NA,NA,NA
"429",121601,"meiobenthos",NA,NA,NA,NA
"430",122303,"benthos",NA,NA,NA,NA
"431",122305,"benthos","zooplankton",NA,NA,NA
"432",122307,"benthos",NA,NA,NA,NA
"433",122314,"benthos","zooplankton",NA,NA,NA
"434",122358,"benthos","zooplankton",NA,NA,NA
"435",122419,"benthos",NA,NA,NA,NA
"436",122536,"benthos","zooplankton",NA,NA,NA
"437",122543,"benthos","zooplankton",NA,NA,NA
"438",122573,"benthos","zooplankton",NA,NA,NA
"439",122599,"benthos",NA,NA,NA,NA
"440",122607,"benthos","plankton",NA,NA,NA
"441",122611,"benthos",NA,NA,NA,NA
"442",122666,"benthos",NA,NA,NA,NA
"443",122710,"benthos",NA,NA,NA,NA
"444",122764,"benthos",NA,NA,NA,NA
"445",122773,"benthos",NA,NA,NA,NA
"446",122791,"benthos",NA,NA,NA,NA
"447",122806,"benthos",NA,NA,NA,NA
"448",122817,"benthos",NA,NA,NA,NA
"449",123080,"benthos",NA,NA,NA,NA
"450",123081,"epibenthos",NA,NA,NA,NA
"451",123084,"macrobenthos",NA,NA,NA,NA
"452",123121,"benthos",NA,NA,NA,NA
"453",123160,"epibenthos",NA,NA,NA,NA
"454",123545,"macrobenthos",NA,NA,NA,NA
"455",123776,"benthos",NA,NA,NA,NA
"456",123803,"benthos",NA,NA,NA,NA
"457",123867,"benthos",NA,NA,NA,NA
"458",123974,"benthos",NA,NA,NA,NA
"459",123987,"benthos",NA,NA,NA,NA
"460",123990,"benthos",NA,NA,NA,NA
"461",124273,"macrobenthos","zooplankton",NA,NA,NA
"462",124319,"epibenthos",NA,NA,NA,NA
"463",124392,"endobenthos",NA,NA,NA,NA
"464",124418,"endobenthos",NA,NA,NA,NA
"465",125027,"macrobenthos",NA,NA,NA,NA
"466",125064,"macrobenthos",NA,NA,NA,NA
"467",125080,"macrobenthos",NA,NA,NA,NA
"468",125110,"macrobenthos",NA,NA,NA,NA
"469",125131,"macrobenthos",NA,NA,NA,NA
"470",125284,"megabenthos",NA,NA,NA,NA
"471",125422,"megabenthos",NA,NA,NA,NA
"472",125516,"fish",NA,NA,NA,NA
"473",125546,"fish",NA,NA,NA,NA
"474",125775,"fish",NA,NA,NA,NA
"475",126023,"fish",NA,NA,NA,NA
"476",126141,"fish",NA,NA,NA,NA
"477",126152,"fish",NA,NA,NA,NA
"478",126417,"fish",NA,NA,NA,NA
"479",126421,"fish",NA,NA,NA,NA
"480",126425,"fish",NA,NA,NA,NA
"481",126436,"fish",NA,NA,NA,NA
"482",126438,"fish",NA,NA,NA,NA
"483",126440,"fish",NA,NA,NA,NA
"484",126441,"fish",NA,NA,NA,NA
"485",126444,"fish",NA,NA,NA,NA
"486",126445,"fish",NA,NA,NA,NA
"487",126446,"fish",NA,NA,NA,NA
"488",126448,"fish",NA,NA,NA,NA
"489",126461,"fish",NA,NA,NA,NA
"490",126505,"fish",NA,NA,NA,NA
"491",126508,"fish",NA,NA,NA,NA
"492",126510,"fish",NA,NA,NA,NA
"493",126519,"fish",NA,NA,NA,NA
"494",126751,"fish",NA,NA,NA,NA
"495",126752,"fish",NA,NA,NA,NA
"496",126754,"fish",NA,NA,NA,NA
"497",126755,"fish",NA,NA,NA,NA
"498",126756,"fish",NA,NA,NA,NA
"499",126762,"fish",NA,NA,NA,NA
"500",126768,"fish",NA,NA,NA,NA
"501",126770,"fish",NA,NA,NA,NA
"502",126872,"fish",NA,NA,NA,NA
"503",126878,"fish",NA,NA,NA,NA
"504",126893,"fish",NA,NA,NA,NA
"505",126928,"fish",NA,NA,NA,NA
"506",126930,"fish",NA,NA,NA,NA
"507",126961,"fish",NA,NA,NA,NA
"508",126964,"fish",NA,NA,NA,NA
"509",126965,"fish",NA,NA,NA,NA
"510",126975,"fish",NA,NA,NA,NA
"511",127023,"fish",NA,NA,NA,NA
"512",127090,"fish",NA,NA,NA,NA
"513",127123,"fish",NA,NA,NA,NA
"514",127139,"fish",NA,NA,NA,NA
"515",127140,"fish",NA,NA,NA,NA
"516",127204,"fish",NA,NA,NA,NA
"517",127214,"fish",NA,NA,NA,NA
"518",127220,"fish",NA,NA,NA,NA
"519",127259,"fish",NA,NA,NA,NA
"520",127379,"fish",NA,NA,NA,NA
"521",127383,"fish",NA,NA,NA,NA
"522",127477,"benthos",NA,NA,NA,NA
"523",127498,"benthos",NA,NA,NA,NA
"524",127969,"benthos",NA,NA,NA,NA
"525",128195,"benthos",NA,NA,NA,NA
"526",128545,"benthos","zooplankton",NA,NA,NA
"527",128548,"macrobenthos",NA,NA,NA,NA
"528",128549,"macrobenthos",NA,NA,NA,NA
"529",128550,"macrobenthos",NA,NA,NA,NA
"530",128555,"macrobenthos",NA,NA,NA,NA
"531",128592,NA,NA,NA,NA,NA
"532",128690,"mesoplankton",NA,NA,NA,NA
"533",128805,"mesoplankton",NA,NA,NA,NA
"534",129184,"benthos","zooplankton",NA,NA,NA
"535",129211,"benthos","zooplankton",NA,NA,NA
"536",129229,"benthos","zooplankton",NA,NA,NA
"537",129243,"benthos","zooplankton",NA,NA,NA
"538",129296,"benthos","zooplankton",NA,NA,NA
"539",129370,"benthos","zooplankton",NA,NA,NA
"540",129379,"benthos","zooplankton",NA,NA,NA
"541",129381,"benthos","zooplankton",NA,NA,NA
"542",129578,"benthos","zooplankton",NA,NA,NA
"543",129594,"benthos","zooplankton",NA,NA,NA
"544",129625,"benthos","zooplankton",NA,NA,NA
"545",129659,"benthos","zooplankton",NA,NA,NA
"546",129671,"benthos","zooplankton",NA,NA,NA
"547",129677,"benthos","zooplankton",NA,NA,NA
"548",129693,"benthos","zooplankton",NA,NA,NA
"549",129701,"benthos","zooplankton",NA,NA,NA
"550",129868,"benthos","zooplankton",NA,NA,NA
"551",129870,"benthos","zooplankton",NA,NA,NA
"552",129881,"megabenthos",NA,NA,NA,NA
"553",129884,"macrobenthos",NA,NA,NA,NA
"554",129914,"benthos","zooplankton",NA,NA,NA
"555",129959,"benthos","zooplankton",NA,NA,NA
"556",129964,"benthos","zooplankton",NA,NA,NA
"557",129965,"benthos","zooplankton",NA,NA,NA
"558",129967,"benthos","zooplankton",NA,NA,NA
