ASV_4767	"Dynamene bidentata"
ASV_13309	"Dynamene bidentata"
ASV_15758	"Dynamene bidentata"
ASV_3107	"Balanomorpha"
ASV_16730	"Balanomorpha"
ASV_1940	"Balanidae"
ASV_2090	"Balanidae"
ASV_3005	"Balanidae"
ASV_14831	"Balanidae"
ASV_2551	"Perforatus perforatus"
ASV_5952	"Perforatus perforatus"
ASV_12920	"Perforatus perforatus"
ASV_1823	"Semibalanus balanoides"
ASV_4166	"Semibalanus balanoides"
ASV_12083	"Semibalanus balanoides"
ASV_885	"Chthamalus montagui"
ASV_1132	"Chthamalus montagui"
ASV_1387	"Chthamalus montagui"
ASV_1935	"Chthamalus montagui"
ASV_3306	"Chthamalus montagui"
ASV_8581	"Chthamalus montagui"
ASV_11954	"Chthamalus montagui"
ASV_3908	"Chthamalus stellatus"
ASV_15364	"Chthamalus stellatus"
ASV_16976	"Chthamalus stellatus"
ASV_824	"Austrominius modestus"
ASV_4634	"Austrominius modestus"
ASV_12581	"Austrominius modestus"
ASV_2185	"Verruca stroemia"
ASV_2203	"Verruca stroemia"
ASV_3265	"Verruca stroemia"
ASV_8589	"Verruca stroemia"
ASV_29	"Oscinella nigerrima"
ASV_511	"Oscinella nigerrima"
ASV_2416	"Oscinella nigerrima"
ASV_2762	"Oscinella nigerrima"
ASV_2925	"Oscinella nigerrima"
ASV_4116	"Oscinella nigerrima"
ASV_17473	"Dilophus febrilis"
ASV_16349	"Mycetophila lunata"
ASV_2880	"Culex pipiens"
ASV_16515	"Auchenorrhyncha"
ASV_11863	"Appasus major"
ASV_1316	"Thrips tabaci"
ASV_167	"Fujientomon dicestum"
ASV_928	"Fujientomon dicestum"
ASV_1724	"Fujientomon dicestum"
ASV_2036	"Fujientomon dicestum"
ASV_193	"Synchaeta triophthalma"
ASV_299	"Synchaeta triophthalma"
ASV_557	"Synchaeta triophthalma"
ASV_1258	"Synchaeta triophthalma"
ASV_2675	"Synchaeta triophthalma"
ASV_2913	"Synchaeta triophthalma"
ASV_12228	"Lumbricillus lineatus"
ASV_7444	"Clitellio arenarius"
ASV_1251	"Tubificoides benedii"
ASV_6669	"Tubificoides benedii"
ASV_9480	"Tubificoides benedii"
ASV_1228	"Marphysa sanguinea"
ASV_1614	"Marphysa sanguinea"
ASV_4075	"Marphysa sanguinea"
ASV_8584	"Psamathe fusca"
ASV_13040	"Psamathe fusca"
ASV_2663	"Nereididae"
ASV_6086	"Nereididae"
ASV_1001	"Platynereis"
ASV_6293	"Platynereis"
ASV_8468	"Platynereis"
ASV_10894	"Platynereis dumerilii"
ASV_17719	"Platynereis dumerilii"
ASV_14527	"Eulalia <segmented worms>"
ASV_15572	"Phyllodoce laminosa"
ASV_9852	"Harmothoe impar"
ASV_16333	"Lepidonotus clava"
ASV_13915	"Polynoe scolopendrina"
ASV_13856	"Sthenelais boa"
ASV_15258	"Sthenelais boa"
ASV_1218	"Amblyosyllis spectabilis"
ASV_4584	"Amblyosyllis spectabilis"
ASV_6098	"Nerilla antennata"
ASV_2612	"Rubifabriciola tonerella"
ASV_5356	"Rubifabriciola tonerella"
ASV_792	"Sabellaria alveolata"
ASV_1272	"Sabellaria alveolata"
ASV_2696	"Sabellaria alveolata"
ASV_265	"Sabellaria spinulosa"
ASV_397	"Sabellaria spinulosa"
ASV_1671	"Sabellaria spinulosa"
ASV_2291	"Sabellaria spinulosa"
ASV_3323	"Sabellaria spinulosa"
ASV_3483	"Sabellaria spinulosa"
ASV_7242	"Sabellaria spinulosa"
ASV_10900	"Sabellaria spinulosa"
ASV_11040	"Sabellaria spinulosa"
ASV_11844	"Sabellaria spinulosa"
ASV_15351	"Sabellaria spinulosa"
ASV_15542	"Sabellaria spinulosa"
ASV_16192	"Pomatoceros triqueter"
ASV_6127	"Aonides oxycephala"
ASV_308	"Boccardia proboscidea"
ASV_510	"Boccardia proboscidea"
ASV_2864	"Boccardia proboscidea"
ASV_4151	"Laonice cirrata"
ASV_147	"Malacoceros fuliginosus"
ASV_4493	"Malacoceros fuliginosus"
ASV_7454	"Malacoceros fuliginosus"
ASV_8029	"Malacoceros fuliginosus"
ASV_8465	"Malacoceros fuliginosus"
ASV_15569	"Malacoceros fuliginosus"
ASV_16089	"Polydora cornuta"
ASV_5797	"Polydora hoplura"
ASV_2876	"Polydora onagawaensis"
ASV_3134	"Polydora onagawaensis"
ASV_651	"Cirriformia tentaculata"
ASV_1610	"Cirriformia tentaculata"
ASV_2760	"Cirriformia tentaculata"
ASV_2799	"Cirriformia tentaculata"
ASV_10922	"Cirriformia tentaculata"
ASV_15432	"Cirriformia tentaculata"
ASV_4314	"Ctenodrilus serratus"
ASV_6356	"Ctenodrilus serratus"
ASV_1958	"Dodecaceria ater"
ASV_1663	"Dodecaceria concharum"
ASV_8087	"Eupolymnia sp. g GD-2021"
ASV_5455	"Lanice conchilega"
ASV_9943	"Lanice conchilega"
ASV_12393	"Lanice conchilega"
ASV_3712	"Orbinia latreillii"
ASV_12156	"Bugulidae"
ASV_11735	"Bugulina fulva"
ASV_15135	"Scrupocellaria scruposa"
ASV_10978	"Flustra foliacea"
ASV_15584	"Escharella immersa"
ASV_3770	"Umbonula littoralis"
ASV_12726	"Umbonula littoralis"
ASV_14184	"Umbonula littoralis"
ASV_372	"Electra pilosa"
ASV_652	"Electra pilosa"
ASV_1237	"Membranipora membranacea"
ASV_2841	"Membranipora membranacea"
ASV_3365	"Membranipora membranacea"
ASV_4542	"Membranipora membranacea"
ASV_5499	"Membranipora membranacea"
ASV_186	"Flustrellidra hispida"
ASV_597	"Flustrellidra hispida"
ASV_619	"Flustrellidra hispida"
ASV_1224	"Amathia gracilis"
ASV_9687	"Amathia lendigera"
ASV_15168	"Vesicularia spinosa"
ASV_12394	"Neodasys chaetonotoideus"
ASV_12411	"Laevicardium crassum"
ASV_11023	"Cerastoderma edule"
ASV_1443	"Donax vittatus"
ASV_4594	"Donax vittatus"
ASV_5365	"Donax vittatus"
ASV_16581	"Abra nitida"
ASV_1347	"Hiatella arctica"
ASV_2985	"Hiatella arctica"
ASV_3716	"Hiatella arctica"
ASV_3988	"Hiatella arctica"
ASV_6054	"Hiatella arctica"
ASV_10817	"Hiatella arctica"
ASV_2441	"Varicorbula gibba"
ASV_3368	"Spisula subtruncata"
ASV_5086	"Ruditapes philippinarum"
ASV_10823	"Modiolus barbatus"
ASV_5481	"Mytilus"
ASV_7211	"Mytilus"
ASV_8756	"Mytilus"
ASV_9452	"Mytilus"
ASV_12326	"Mytilus"
ASV_12790	"Mytilus"
ASV_13431	"Mytilus"
ASV_3438	"Mytilus trossulus"
ASV_5224	"Mytilus trossulus"
ASV_5371	"Mytilus trossulus"
ASV_10913	"Mytilus trossulus"
ASV_16857	"Ostrea edulis"
ASV_11555	"Nucula nitidosa"
ASV_7931	"Afrolittorina knysnaensis"
ASV_3952	"Littorina"
ASV_10023	"Littorina"
ASV_1885	"Littorina littorea"
ASV_4770	"Littorina littorea"
ASV_9417	"Littorina saxatilis"
ASV_11458	"Oncomelania hupensis hupensis"
ASV_14540	"Oncomelania hupensis hupensis"
ASV_5120	"Nucella lapillus"
ASV_16653	"Facelina auriculata"
ASV_4362	"Goniodoris"
ASV_3682	"Limapontia capitata"
ASV_10040	"Elysia viridis"
ASV_10478	"Runcina coronata"
ASV_1108	"Patella"
ASV_5402	"Patella"
ASV_1473	"Patella depressa"
ASV_3594	"Patella pellucida"
ASV_1033	"Patella vulgata"
ASV_5468	"Tricolia pullus"
ASV_12695	"Tricolia pullus"
ASV_16565	"Gibbula magus"
ASV_1577	"Phorcus lineatus"
