ASV_7941	"Amphipholis squamata"
ASV_9123	"Amphipholis squamata"
ASV_3448	"Amphipholis squamata"
ASV_15646	"Amphipholis squamata"
ASV_8179	"Ophiothrix fragilis"
ASV_8719	"Ophiothrix fragilis"
ASV_10641	"Ophiothrix fragilis"
ASV_12297	"Ophiothrix fragilis"
ASV_13611	"Ophiothrix fragilis"
ASV_15111	"Ophiothrix fragilis"
ASV_15923	"Ophiothrix fragilis"
ASV_18015	"Ophiothrix fragilis"
ASV_7044	"Ophiothrix fragilis"
ASV_9170	"Ophiothrix fragilis"
ASV_16218	"Ophiothrix fragilis"
ASV_6235	"Echinocardium cordatum"
ASV_11295	"Echinocardium cordatum"
ASV_4394	"Echinocardium cordatum"
ASV_16582	"Echinocardium cordatum"
ASV_14283	"Psammechinus miliaris"
ASV_19941	"Psammechinus miliaris"
ASV_3205	"Litoditis aff. marina PmIV"
ASV_4163	"Litoditis aff. marina PmIV"
ASV_5327	"Litoditis aff. marina PmIV"
ASV_9103	"Litoditis aff. marina PmIV"
ASV_2814	"Litoditis aff. marina PmIV"
ASV_3954	"Litoditis aff. marina PmIV"
ASV_17332	"Erigone atra"
ASV_19169	"Achelia hispida"
ASV_13664	"Endeis spinosa"
ASV_10933	"Pancrustacea"
ASV_3313	"Moina sp. ARRV-2013"
ASV_646	"Moina sp. ARRV-2013"
ASV_10099	"Podon intermedius"
ASV_1655	"Neocopepoda"
ASV_9181	"Neocopepoda"
ASV_10569	"Neocopepoda"
ASV_5515	"Acartia clausii"
ASV_892	"Acartia clausii"
ASV_9756	"Acartia clausii"
ASV_1293	"Centropages hamatus"
ASV_14802	"Centropages hamatus"
ASV_6427	"Isias clavipes"
ASV_19104	"Paracalanus"
ASV_8409	"Paracalanus parvus"
ASV_9718	"Paracalanus parvus"
ASV_6563	"Paracalanus sp. F AC-2013"
ASV_6784	"Temora longicornis"
ASV_291	"Oithona nana"
ASV_2745	"Oithona nana"
ASV_258	"Oithona nana"
ASV_794	"Oithona nana"
ASV_1212	"Oithona nana"
ASV_2690	"Oithona nana"
ASV_3370	"Oithona nana"
ASV_11692	"Oithona similis"
ASV_10720	"Enhydrosoma propinquum"
ASV_8945	"Ectinosomatidae sp. SR-2019"
ASV_5362	"Harpacticus flexus"
ASV_4662	"Tigriopus brevicornis"
ASV_5334	"Pseudonychocamptus spinifer"
