sample_ID,sample_18S,sample_CO1
PHD2-NW03-02,S15,X15.NW03.02
PHD2-NW03-03,S16,X16.NW03.03
PHD2-NW03-04,S17,X17.NW03.04
PHD2-NW03-05,S18,X18.NW03.05
PHD2-NW03-06,S19,X19.NW03.06
PHD2-NW03-07,S20,X20.NW03.07
PHD2-NW03-08,S21,X21.NW03.08
PHD2-NW03-08rep,S56,X56.NW03.08rep
PHD2-NW03-09,S22,X22.NW03.09
PHD2-NW03-C,S23,X23.NW03.C
PHD2-NW04-01,S24,X24.NW04.01
PHD2-NW04-02,S25,X25.NW04.02
PHD2-NW04-03,S26,X26.NW04.03
PHD2-NW04-04,S27,X27.NW04.04
PHD2-NW04-05,S28,X28.NW04.05
PHD2-NW04-06,S29,X29.NW04.06
PHD2-NW04-07,S30,X30.NW04.07
PHD2-NW04-08,S31,X31.NW04.08
PHD2-NW04-09,S32,X32.NW04.09
PHD2-NW04-C,S33,X33.NW04.C
PHD2-NW05-01,S35,X35.NW05.01
PHD2-NW05-02,S36,X36.NW05.02
PHD2-NW05-03,S37,X37.NW05.03
PHD2-NW05-04,S38,X38.NW05.04
PHD2-NW05-05,S39,X39.NW05.05
PHD2-NW05-06,S40,X40.NW05.06
PHD2-NW05-07,S41,X41.NW05.07
PHD2-NW05-08,S42,X42.NW05.08
PHD2-NW05-09,S43,X43.NW05.09
PHD2-NW05-C,S44,X44.NW05.C
PHD2-NW06-01,S45,X45.NW06.01
PHD2-NW06-02,S46,X46.NW06.02
PHD2-NW06-02rep,S57,X57.NW06.02rep
PHD2-NW06-03,S47,X47.NW06.03
PHD2-NW06-04,S48,X48.NW06.04
PHD2-NW06-05,S49,X49.NW06.05
PHD2-NW06-06,S50,X50.NW06.06
PHD2-NW06-C,S51,X51.NW06.C
PHD2-Pos-algae-0111,S185,NA
PHD2-Pos-algae-0311,S67,NA
PHD2-Pos-ant-1411,NA,X109.plusVEant
PHD2-Pos-stalk-1411,NA,X110.plusVEstalk
PHD2-Pos-algae-1511,S70,NA
PHD2-Pos-algae-3010 ,S52,NA
PHD2-Pos-algae-3110,S124,NA
PHD2-Pos-plant-0111,S186,NA
PHD2-Pos-plant-0311,S68,NA
PHD2-Pos-plant-1511,S71,NA
PHD2-Pos-plant-3010 ,S53,NA
PHD2-Pos-plant-3110,S125,NA
PHD2-SCH01-04rep,S62,X183.SCH01.04rep
PHD2-SCH02-03,NA,X173.SCH02.03
PHD2-SCH02-05,NA,X174.SCH02.05
PHD2-SCH03-05rep,S63,X184.SCH03.05rep
PHD2-SCH03-05rep2,NA,X175.SCH03.05rep
PHD2-SCH04-03,NA,X176.SCH04.03
PHD2-SCH04-09rep,S64,X185.SCH04.09rep
PHD2-SCH06-05,S66,NA
PHD2-SCH07-02rep,S65,X186.SCH07.02rep
PHD2-SCHNC2303,NA,X177.SCHNC2303
PHD2-SW01-06rep,S58,X179.SW01.06rep
PHD2-SW03-08rep,S59,X180.SW03.08rep
PHD2-SW04-01,NA,X178.SW04.01
PHD2-SW05-01rep,S60,X181.SW05.01rep
PHD2-SW07-03rep,S61,X182.SW07.03rep
PHD2-Pos-algae-2011,S130,NA
PHD2-Pos-plant-2011,S131,NA
PHD2-Pos-ant2-1511,NA,X187.plusVEant2
PHD2-Pos-stalk2-1511,NA,X188.plusVEstalk2
PHD2-Pos-ant-2011,NA,X189.plusVEant
PHD2-Pos-stalk-2011,NA,X190.plusVEstalk
PHD2-Pos-ant-2111,NA,X193.plusVEant
PHD2-Pos-stalk-2111,NA,X194.plusVEstalk
PHD2-Pos-ant-1511,NA,X167.plusVEant
PHD2-Pos-stalk-1511,NA,X168.plusVEstalk
PHD2-Pos-ant-0611,NA,X52.Posant
PHD2-Pos-stalk-0611,NA,X53.Posstalk
PHD2-Neg-PCR-0611,NA,X54.Negpcr
PHD3-NE04-C,NA,X60.NE04.C
PHD3-CN01-01rep,NA,X61.CN01.01rep
PHD3-CN01-02rep,NA,X62.CN01.02rep
PHD3-CN01-03rep,NA,X63.CN01.03rep
PHD3-CN01-04rep,NA,X64.CN01.04rep
PHD3-CN01-05rep,NA,X65.CN01.05rep
PHD3-CN01-06rep,NA,X66.CN01.06rep
PHD3-CN01-07rep,NA,X67.CN01.07rep
PHD3-CN01-08rep,NA,X68.CN01.08rep
PHD3-SW01-06rep,NA,X69.SW01.06rep
PHD3-SW03-08rep,NA,X70.SW03.08rep
PHD3-SW05-01rep,NA,X71.SW05.01rep
PHD3-SW07-03rep,NA,X72.SW07.03rep
PHD3-SCH01-04rep,NA,X73.SCH01.04rep
PHD3-SCH03-05rep,NA,X74.SCH03.05rep
PHD3-SCH04-09rep,NA,X75.SCH04.09rep
PHD3-SCH07-02rep,NA,X76.SCH07.02rep
PHD3-NE01-09,NA,FAILED
