sample_ID,sample_18S,sample_CO1
PHD1-SCH01-08,S73,Adapter392.SCH01.08
PHD1-SCH01-09,S74,Adapter393.SCH01.09
PHD1-SCH01-C,S75,Adapter394.SCH01.C
PHD1-SCH02-01,S76,Adapter395.SCH02.01
PHD1-SCH02-02,S77,Adapter396.SCH02.02
PHD1-SCH02-03,S78,FAILED
PHD1-SCH02-04,S79,Adapter398.SCH02.04
PHD1-SW01-08,S8,Adapter3560.SW01.08
PHD1-SCH02-05,S80,FAILED
PHD1-SCH02-06,S81,Adapter400.SCH02.06
PHD1-SCH02-C,S82,Adapter401.SCH02.C
PHD1-SCHNC-1ex,S83,Adapter402.SCHNC1ex
PHD1-SCH03-01,S84,Adapter403.SCH03.01
PHD1-SCH03-02,S85,Adapter404.SCH03.02
PHD1-SCH03-03,S86,Adapter405.SCH03.03
PHD1-SCH03-04,S87,Adapter406.SCH03.04
PHD1-SCH03-05,S88,Adapter407.SCH03.05
PHD1-SCH03-06,S89,Adapter408.SCH03.06
PHD1-SW01-09,S9,Adapter3561.SW01.09
PHD1-SCH03-07,S90,Adapter409.SCH03.07
PHD1-SCH03-08,S91,Adapter410.SCH03.08
PHD1-SCH03-09,S92,Adapter411.SCH03.09
PHD1-SCH03-C,S93,Adapter412.SCH03.C
PHD1-SCH04-01,S94,Adapter413.SCH04.01
PHD1-SCH04-02,S95,Adapter414.SCH04.02
PHD1-SCH04-03,S96,FAILED
PHD1-SCH04-04,S97,Adapter416.SCH04.04
PHD1-SCH04-05,S98,Adapter417.SCH04.05
PHD1-SCH04-06,S99,Adapter418.SCH04.06
